HaploidChromosomeNum = 10
RandomSeed = 0.1
Pop1AvgAlleleFreq = 1
Pop1AvgAlleleFreqStdev = 0
Pop2AvgAlleleFreq = 1
Pop2AvgAlleleFreqStdev = 0
:chr 1	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
7	0.611078	1.52769e+07	1	0
8	0.638325	1.59581e+07	1	0
9	0.643239	1.6081e+07	1	0
10	0.941886	2.35471e+07	1	0
11	0.981767	2.45442e+07	1	0
:chr 6	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0462248	1.15562e+06	1	0
2	0.237673	5.94183e+06	1	0
3	0.259323	6.48308e+06	1	0
4	0.445831	1.11458e+07	1	0
5	0.44766	1.11915e+07	1	0
6	0.46162	1.15405e+07	1	0
7	0.644094	1.61023e+07	1	0
8	0.699995	1.74999e+07	1	0
9	0.805477	2.01369e+07	1	0
10	0.883451	2.20863e+07	1	0
11	0.94632	2.3658e+07	1	0
:chr 7	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0656515	1.64129e+06	1	0
2	0.234148	5.85369e+06	1	0
3	0.247813	6.19533e+06	1	0
4	0.358028	8.9507e+06	1	0
5	0.501442	1.25361e+07	1	0
6	0.532025	1.33006e+07	1	0
7	0.584089	1.46022e+07	1	0
8	0.605961	1.5149e+07	1	0
9	0.817122	2.0428e+07	1	0
10	0.827118	2.0678e+07	1	0
11	0.981027	2.45257e+07	1	0
:chr 8	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0470096	1.17524e+06	1	0
2	0.148927	3.72318e+06	1	0
3	0.18653	4.66326e+06	1	0
4	0.246896	6.1724e+06	1	0
5	0.272253	6.80634e+06	1	0
6	0.329305	8.23262e+06	1	0
7	0.439065	1.09766e+07	1	0
8	0.617606	1.54402e+07	1	0
9	0.617914	1.54479e+07	1	0
10	0.778794	1.94698e+07	1	0
11	0.946459	2.36615e+07	1	0
:chr 9	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0685625	1.71406e+06	1	0
2	0.253558	6.33894e+06	1	0
3	0.290552	7.26381e+06	1	0
4	0.56373	1.40933e+07	1	0
5	0.615107	1.53777e+07	1	0
6	0.674543	1.68636e+07	1	0
7	0.857416	2.14354e+07	1	0
8	0.880025	2.20006e+07	1	0
9	0.888457	2.22114e+07	1	0
10	0.965147	2.41287e+07	1	0
11	0.997327	2.49332e+07	1	0
:chr 10	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0290828	727070	1	0
2	0.109673	2.74182e+06	1	0
3	0.254575	6.36439e+06	1	0
4	0.274386	6.85965e+06	1	0
5	0.280141	7.00352e+06	1	0
6	0.301197	7.52992e+06	1	0
7	0.368096	9.2024e+06	1	0
8	0.382137	9.55342e+06	1	0
9	0.578972	1.44743e+07	1	0
10	0.664128	1.66032e+07	1	0
11	0.770513	1.92628e+07	1	0
